excluded_domain,encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
digits_characters,clip_b32,beans,8,cifar10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,dtd,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,eurosat,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,flowers102,8,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,food101,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,gtsrb,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,clip_b32,oxford_pets,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,beans,8,organmnist_views,0.0,1.0,0.00038685071168598206,0.0,-1.0,-0.33333333333333337,0.00038685071168598206,0.048387514223592824,-0.009375000000000022,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,dtd,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,eurosat,8,pathmnist,0.0,0.0,6.667249838521183e-05,6.667249838521183e-05,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
digits_characters,dinov2_b14,flowers102,8,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,food101,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,gtsrb,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,dinov2_b14,oxford_pets,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,resnet50,beans,8,rendered_sst2,0.0,0.0,0.016054156697388078,0.016054156697388078,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
digits_characters,resnet50,dtd,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
digits_characters,resnet50,eurosat,8,dermamnist,0.0,0.0,0.0006400102877616165,0.0008933392810820395,0.0,0.3333333333333333,-0.000253328993320423,-0.020764653820712575,0.002518510818481423,0.7777777777777778,0.0,0.0,0.0
digits_characters,resnet50,flowers102,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
